IATA codes
POM
KEF
PRN
YEG
YHZ
YOW
YUL
YVR
YWG
YYC
YYJ
YYT
YYZ
ALG
OUA
ACC
ABV
QUO
KAN
LOS
NIM
TUN
BRU
CRL
LGG
SXF
DRS
FRA
FMO
HAM
CGN
DUS
MUC
NUE
LEJ
STR
TXL
HAJ
BRE
DTM
FKB
TLL
HEL
BFS
BHD
BHX
MAN
DSA
CWL
BRS
LPL
LTN
BOH
SOU
LGW
LHR
LBA
NCL
EMA
ABZ
GLA
EDI
NWI
STN
EXT
LKZ
MHZ
FFD
BZZ
AMS
EIN
ORK
DUB
SNN
BLL
CPH
AAL
LUX
BOO
BGO
OSL
TOS
TRD
SVG
GDN
KRK
KTW
WMI
POZ
WAW
WRO
GOT
MMX
LLA
ARN
RMS
RIX
VNO
CPT
GRJ
JNB
DUR
JNB
GBE
MRU
LUN
TNR
LAD
MPM
SEZ
NDJ
HRE
WDH
FIH
BKO
SPC
LPA
TFS
TFN
FNA
ROB
CMN
DSS
DKR
NKC
SID
ADD
HGA
CAI
HRG
LXR
NBO
MBA
TIP
KGL
JUB
KRT
DAR
ZNZ
EBB
AAP
JNB
ABQ
ADW
AFW
AGS
AMA
ATL
AUS
CTU
URC
UTK
OCA
PQS
CSE
JCY
PMX
NUP
ICY
KKK
MHS
NIR
GCT
LVD
HGZ
OTN
TLF
BZT
BYW
DRF
BDF
VRS
ATT
LIV
PDB
KOZ
TNK
NNK
BCS
BWL
CWS
TEK
DUF
SSW
FOB
AXB
REE
WDN
CHU
UGS
MXG
KLL
WTL
TWA
KCQ
AAD
ABP
ADC
ADV
AEE
AEK
AEQ
URZ
OLR
AFR
AFT
RNA
ATD
VEV
GEF
AGG
AKS
BNY
CHY
BAS
FRE
MBU
AVU
IRA
SCZ
GZO
MNY
PRS
RNL
EGM
NNB
RUS
VAO
XYA
AGK
KGE
KUE
KWS
AGL
NAZ
RIN
RBV
AGY
AHY
AIE
AIH
AIC
CEX
SOL
HED
TWE
LNI
CDL
BSZ
BSW
AKM
TGE
PPE
AME
AMF
AMU
AMY
ANZ
ANL
CNZ
DRC
GGC
JMB
KNP
NDF
AOB
AOD
APP
APR
AQY
QRF
CVI
CNT
VGS
LMD
VCF
NCJ
CPG
PRQ
OLN
ARP
TAV
ASZ
ATN
ATP
LYT
AGW
AYD
BYX
COB
CRJ
CRY
CSD
DYM
HLV
KBD
KGR
MWY
MYO
OKB
PEP
RDA
SSK
SWB
TPR
TWP
ZVG
AUI
AUJ
AUP
AUV
AWE
KPM
BRP
MDM
KPF
DNU
DOI
EMS
XYR
EPT
EGA
EMO
ERU
MFZ
FRQ
FAQ
FUM
GUG
GRL
GAP
GBC
HBD
HNI
HNN
HIT
IMN
KGM
IMD
IAL
WIU
KGH
LSA
KPA
UNG
KNE
KRI
KRX
KIE
KUQ
LNV
LAB
LWI
LPN
LNG
LSJ
MRM
OBM
GUV
MXH
MIS
MWG
NKN
GBF
MFO
KSB
NMN
NBA
KGB
OKP
HOC
KCJ
KDE
OPB
PGB
PGN
MPF
PMN
SPH
SXA
RMN
KMR
MWI
MRH
SBE
NIS
SIL
SBV
SIM
SBC
SPV
SXW
MBV
TIZ
TBG
TPI
TKW
TEP
TSW
TRJ
TWY
TKB
AYU
UMC
URU
UPR
UVO
TLW
TCJ
TON
WAO
WAJ
WOA
WKN
WSU
WTP
WUG
YVD
SMJ
WEP
KYX
KSX
WUM
AZB
BAJ
BKG
BCP
BCZ
ILL
BDZ
HKV
CNP
JAV
KUS
JSU
BGP
JFR
NAQ
JHS
JUV
JQA
BHL
BHT
BIU
BGJ
BJD
BLO
BQD
BXV
DJU
FAS
FAG
GUU
GJR
GRY
HVK
FLI
HVM
HLO
OPA
SAK
NOR
OFJ
PFJ
RHA
OLI
RFN
MVA
SYK
TEY
THO
VPN
BJE
BJQ
BMH
BMQ
BMZ
BNM
BNT
RBQ
BVL
BOK
BOT
BOV
BPF
ALT
BSP
BSV
BUL
BVR
HUK
BWJ
BWP
BXZ
BYA
BYL
BCV
INB
MDB
ORZ
SQS
STU
SVK
BZM
YRR
YMV
YZZ
YMB
CJH
YCA
CFQ
YAA
DGF
JHL
DUQ
YHS
XQU
YMP
YZA
ZEL
CBC
YPB
YBO
TNS
TUX
YWM
YSO
YBI
YFX
YHA
YRG
DVK
JOJ
ZFW
YJP
YLE
YGC
YDC
NML
CFM
ZSP
GSL
XMP
DAS
YFI
YFJ
YOE
TIL
OKG
CGC
CGG
CGT
CHP
LRQ
YDJ
YDU
XCL
YKE
SUR
CKD
YTT
YAX
WNN
YBS
YNO
CKR
CKU
YDW
CKX
CMT
CMZ
TVS
DZU
ZKL
BZX
NTG
XBE
YNP
YPD
XBR
KIF
YOG
ARQ
LCR
SNT
TCD
YEB
CPI
YHP
KEW
YSA
YLS
YNX
SSQ
YKU
ZTB
ZKG
YAU
ZGS
YFG
ZLT
PST
CUJ
HLI
CVL
CXC
YAB
YAR
YBA
XCM
YCT
YCW
YCZ
YDL
YEU
YHB
YJA
YKC
YKD
YLB
YLQ
YLK
YMW
YNH
YLY
HZP
YPZ
YRM
YSE
YVG
YCK
YVT
YYM
ZHP
CZJ
CZK
ZMH
CZN
CZO
ZPO
YDV
ZUM
IUA
DJN
MQV
QMH
DAF
QDJ
DAO
BFW
EBH
INF
BMW
DJA
KDC
NAE
PKO
SVF
DBP
DCK
DDM
DER
DEX
XKY
OUG
XDJ
XLU
PUP
XBO
XBG
DIP
DOR
FNG
XGG
XKA
TMQ
XPA
ARL
XSE
TEG
XZA
BNR
DGU
XGA
XNU
TUQ
XDE
XAR
DHG
ABO
OGO
BXI
BQO
BDK
DIM
FEK
GGN
GGO
BBV
KEO
OFI
SEO
ZSS
TXU
TOZ
DLR
DKA
DOO
DPT
DQA
RLT
DSG
DVD
DWR
EAL
EBO
OBL
MZD
IES
REB
CSO
BBH
GTI
KOQ
PEF
EUM
AAH
BNJ
ESS
BFE
RBM
URD
GHF
BBJ
ZQW
EME
AGE
WVN
JUI
LGO
BMK
NOD
VAC
NRD
BMR
HEI
FLF
HGL
QHU
PSH
OHR
EFG
HYV
QLF
AUE
ORM
GBA
UPV
WHS
COL
NRL
OBN
PPW
SOY
NDY
LWK
WRY
CSA
BBP
QUG
KRH
PSL
UNT
QFO
HYC
RCS
BYT
BLY
NNR
IOR
INQ
KKY
LTR
IIA
EJN
EJT
BYR
-
FDE
DLD
HMR
HAA
QKX
GLL
FAN
OSY
RET
SDN
SOG
CZW
OSZ
QEO
ERT
LDK
OSK
HLF
VVK
IDB
GLC
SHC
KZG
KLJ
RGR
ADY
UTE
ASS
CDO
DUK
PZL
EMG
ELL
GIY
HLW
HDS
KOF
LDZ
LUJ
LCD
MEZ
MZY
NGL
NLP
OVG
AFD
PRK
NTY
RVO
GSS
THY
TCU
VYD
GNZ
KHW
LOQ
ORP
QPH
SVT
SWX
TLD
TBY
DJM
KNJ
LCO
MUY
SIB
NKY
ANJ
MSX
BOE
EWO
GMM
ION
KEE
MKJ
SOE
BTB
KMK
FEA
CRF
BGU
IRO
BBY
NDL
BOP
BIV
BSN
ODA
AIG
IMO
MKI
BTG
GDI
BMF
ODJ
RFA
BCF
BOZ
NBN
GEM
HLE
FIN
NKS
KBI
MMF
BLC
KLE
OUR
GXX
BTA
DSC
EBW
MMQ
CIP
JEK
KLB
KMZ
KAA
ZKB
LXU
MNS
ZGM
SXG
SJQ
SLI
FLT
BBZ
ULI
YVA
WML
ATJ
WAQ
VVB
JVA
BMD
MXT
ILK
TVA
WTA
WTS
VAT
WAM
AMB
WBD
WPB
DWB
WMP
TTS
WMA
IVA
WBO
WMD
RVA
IHO
MJA
OVA
TDV
VND
BKU
AMP
WAK
AZZ
GGC
CFF
PGI
CTI
CXM
CAV
FNE
LBZ
LZM
UAL
CEO
ARZ
NZA
BGB
KDN
FOU
MBC
MGX
KDJ
MVX
MFF
MKB
IGE
MZC
LTL
ZKM
TCH
MYB
FOY
ANO
FXO
IHC
LFB
MNC
PDD
VJB
DES
FSL
BDI
DEI
FRK
SRH
OGR
LTC
ATV
BKR
OTC
MVO
AMC
PLF
OUT
AMO
FUB
BZH
CHJ
MJW
UTA
WKI
CEH
CMK
KBQ
LIX
MYZ
LMB
LEF
LRB
LES
MFC
MKH
NKU
PEL
UTG
UNE
SHK
SKQ
SOK
SHZ
THB
TKO
AIW
GOG
HAL
KAS
MPA
LHU
MJO
MQG
OKU
NNI
OMG
OKF
OPW
OHI
OTJ
RHN
SWP
SZM
TCY
MNB
BOA
LZI
MAT
NKL
INO
NIO
KRZ
IDF
LUS
MSM
BSU
LIE
KLI
BMB
BNB
IKL
YAN
RUE
BNC
KLY
PUN
PWO
KEC
MNO
BDV
KBO
KOO
KAP
KNM
LZA
TSH
LJA
LBO
MEW
BAN
PFR
GDJ
KBN
AKE
GAX
GAB
GUD
KNZ
KTX
NRM
NIX
KSS
EYL
GAZ
DOC
FLH
FOA
PSV
GBM
GMZ
GCV
GEW
GFD
GBK
HGS
KBA
BQE
GHE
UCN
CPA
SNI
NIA
GLP
SAZ
THC
VOI
OZG
GMD
BEM
SII
ESU
SFI
GNU
GOC
KDA
POD
RDT
SMY
AEO
OTL
THI
TIY
BGH
KFA
TMD
EMN
AJJ
KED
MOM
SEY
THT
FGD
OUZ
GRC
GMT
CIQ
DON
ENJ
PCG
TKM
UAX
PKJ
GTZ
GUE
FIG
FAA
KSI
LEK
MCA
NZE
BKJ
SBI
GII
KNN
NTO
GVE
MTI
SFL
BCG
BTO
DOE
LDO
WSO
BCO
BEI
DSE
DEM
DBM
DBT
FNH
GOB
GNN
GOR
HUE
ABK
LFO
AWA
UNR
NAO
TEN
